FileName,EmoClass,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
Ses01F_script01_2_F000,xxx,2.5000,2.5000,3.0000,Unknown,F,Test
Ses01F_script01_2_F001,xxx,2.0000,2.5000,3.5000,Unknown,F,Test
Ses01F_script01_2_F002,xxx,2.5000,2.5000,4.5000,Unknown,F,Validation
Ses01F_script01_2_F003,ang,2.5000,2.0000,4.0000,Unknown,F,Train
Ses01F_script01_2_F004,ang,2.5000,2.5000,3.5000,Unknown,F,Validation
Ses01F_script01_2_F005,ang,3.5000,1.5000,4.5000,Unknown,F,Train
Ses01F_script01_2_F006,ang,4.0000,1.5000,4.5000,Unknown,F,Train
Ses01F_script01_2_F007,ang,4.5000,1.5000,4.5000,Unknown,F,Validation
Ses01F_script01_2_F008,ang,4.5000,1.5000,4.5000,Unknown,F,Validation
Ses01F_script01_2_F009,ang,2.0000,1.5000,4.5000,Unknown,F,Train
Ses01F_script01_2_F010,ang,3.5000,1.5000,4.5000,Unknown,F,Train
Ses01F_script01_2_F011,ang,3.5000,1.5000,4.5000,Unknown,F,Train
Ses01F_script01_2_F012,ang,4.5000,1.5000,5.0000,Unknown,F,Validation
Ses01F_script01_2_F013,ang,4.5000,1.0000,5.0000,Unknown,F,Validation
Ses01F_script01_2_F014,fru,3.0000,2.0000,2.5000,Unknown,F,Train
Ses01F_script01_2_M000,xxx,2.5000,2.5000,3.0000,Unknown,M,Validation
Ses01F_script01_2_M001,neu,3.0000,3.0000,2.5000,Unknown,M,Test
Ses01F_script01_2_M002,xxx,3.0000,3.0000,3.0000,Unknown,M,Train
Ses01F_script01_2_M003,fru,3.5000,2.0000,4.0000,Unknown,M,Train
Ses01F_script01_2_M004,neu,3.0000,2.5000,2.5000,Unknown,M,Train
Ses01F_script01_2_M005,xxx,2.5000,3.0000,3.0000,Unknown,M,Train
Ses01F_script01_2_M006,fru,3.5000,2.5000,3.0000,Unknown,M,Train
Ses01F_script01_2_M007,fru,3.5000,2.5000,3.5000,Unknown,M,Validation
Ses01F_script01_2_M008,neu,3.5000,2.0000,3.0000,Unknown,M,Test
Ses01F_script01_2_M009,fru,3.0000,2.5000,2.5000,Unknown,M,Test
Ses01F_script01_2_M010,fru,2.5000,1.5000,3.5000,Unknown,M,Train
Ses01F_script01_2_M011,fru,2.0000,2.5000,3.0000,Unknown,M,Train
Ses01F_script01_2_M012,fru,2.0000,2.0000,3.0000,Unknown,M,Train
Ses01F_script01_2_M013,fru,2.5000,2.5000,4.0000,Unknown,M,Test
Ses01F_script01_2_M014,fru,3.0000,2.0000,4.0000,Unknown,M,Train
Ses01F_script01_2_M015,fru,4.0000,1.5000,4.5000,Unknown,M,Validation
Ses01F_script01_2_M016,xxx,3.5000,2.5000,4.0000,Unknown,M,Train
Ses01F_script01_2_M017,ang,4.0000,1.5000,4.5000,Unknown,M,Train
Ses01M_impro03_F000,xxx,3.0000,3.5000,2.5000,Unknown,F,Test
Ses01M_impro03_F001,sur,3.5000,4.0000,3.0000,Unknown,F,Train
Ses01M_impro03_F002,exc,3.0000,2.5000,3.0000,Unknown,F,Test
Ses01M_impro03_F003,exc,3.0000,3.5000,3.0000,Unknown,F,Train
Ses01M_impro03_F004,exc,3.5000,4.0000,3.5000,Unknown,F,Train
Ses01M_impro03_F005,exc,4.5000,4.5000,4.0000,Unknown,F,Train
Ses01M_impro03_F006,exc,4.5000,4.0000,4.5000,Unknown,F,Train
Ses01M_impro03_F007,exc,4.0000,5.0000,4.5000,Unknown,F,Train
Ses01M_impro03_F008,exc,3.5000,4.0000,4.0000,Unknown,F,Train
Ses01M_impro03_F009,exc,3.5000,4.0000,3.0000,Unknown,F,Train
Ses01M_impro03_F010,exc,4.5000,3.5000,4.0000,Unknown,F,Validation
Ses01M_impro03_F011,exc,3.5000,4.5000,4.0000,Unknown,F,Train
Ses01M_impro03_F012,exc,3.5000,4.0000,4.0000,Unknown,F,Train
Ses01M_impro03_F013,exc,3.5000,4.5000,4.0000,Unknown,F,Train
Ses01M_impro03_F014,exc,4.0000,4.5000,4.0000,Unknown,F,Test
Ses01M_impro03_F015,exc,4.5000,4.5000,4.5000,Unknown,F,Train
Ses01M_impro03_F016,exc,4.0000,4.5000,4.0000,Unknown,F,Train
Ses01M_impro03_F017,neu,2.0000,3.0000,2.5000,Unknown,F,Validation
Ses01M_impro03_F018,neu,2.5000,3.5000,3.0000,Unknown,F,Train
Ses01M_impro03_F019,exc,4.0000,4.0000,3.5000,Unknown,F,Test
Ses01M_impro03_F020,exc,3.0000,4.0000,2.5000,Unknown,F,Test
Ses01M_impro03_F021,neu,3.0000,3.5000,3.5000,Unknown,F,Train
Ses01M_impro03_F022,exc,4.0000,4.5000,3.5000,Unknown,F,Train
Ses01M_impro03_F023,exc,4.5000,4.0000,4.0000,Unknown,F,Train
Ses01M_impro03_F024,exc,3.0000,4.0000,3.0000,Unknown,F,Train
Ses01M_impro03_F025,exc,3.5000,4.0000,3.0000,Unknown,F,Train
Ses01M_impro03_F026,exc,3.5000,4.0000,3.5000,Unknown,F,Validation
Ses01M_impro03_M000,exc,3.0000,4.0000,2.5000,Unknown,M,Train
Ses01M_impro03_M001,exc,3.5000,3.5000,3.0000,Unknown,M,Train
Ses01M_impro03_M002,xxx,2.5000,3.5000,2.5000,Unknown,M,Validation
Ses01M_impro03_M003,neu,2.5000,3.5000,2.5000,Unknown,M,Validation
Ses01M_impro03_M004,exc,4.0000,3.5000,4.0000,Unknown,M,Validation
Ses01M_impro03_M005,exc,4.5000,4.5000,4.0000,Unknown,M,Test
Ses01M_impro03_M006,neu,4.0000,4.0000,3.0000,Unknown,M,Test
Ses01M_impro03_M007,exc,4.5000,5.0000,4.5000,Unknown,M,Train
Ses01M_impro03_M008,exc,4.0000,4.0000,3.5000,Unknown,M,Train
Ses01M_impro03_M009,xxx,2.5000,3.5000,2.5000,Unknown,M,Validation
Ses01M_impro03_M010,exc,4.0000,4.0000,3.5000,Unknown,M,Train
Ses01M_impro03_M011,exc,4.0000,4.5000,3.5000,Unknown,M,Train
Ses01M_impro03_M012,exc,3.0000,4.0000,3.0000,Unknown,M,Train
